026-02-09 17:15:42,540][INFO]: === Game Progress Tracker v1.0.43 starting ===
[2026-02-09 17:16:51,995][ERROR]: Failed to sync tags for 275850: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:51,995][INFO]: [40/74] Completed: No Man's Sky
[2026-02-09 17:16:52,996][INFO]: [41/74] Syncing: Another World (233550)
[2026-02-09 17:16:52,997][ERROR]: Failed to sync tags for 233550: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:52,997][INFO]: [41/74] Completed: Another World
[2026-02-09 17:16:53,998][INFO]: [42/74] Syncing: Little Nightmares (424840)
[2026-02-09 17:16:53,999][ERROR]: Failed to update stats for 424840: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:54,673][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:54,674][ERROR]: Failed to sync tags for 424840: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:54,674][INFO]: [42/74] Completed: Little Nightmares
[2026-02-09 17:16:55,676][INFO]: [43/74] Syncing: GRID (12750)
[2026-02-09 17:16:55,678][ERROR]: Failed to update stats for 12750: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:56,315][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:56,316][ERROR]: Failed to sync tags for 12750: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:56,317][INFO]: [43/74] Completed: GRID
[2026-02-09 17:16:57,318][INFO]: [44/74] Syncing: Worms Reloaded (22600)
[2026-02-09 17:16:57,320][ERROR]: Failed to update stats for 22600: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:58,360][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:16:58,361][ERROR]: Failed to sync tags for 22600: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:16:58,362][INFO]: [44/74] Completed: Worms Reloaded
[2026-02-09 17:16:59,363][INFO]: [45/74] Syncing: Half-Life 2: Lost Coast (340)
[2026-02-09 17:16:59,364][ERROR]: Failed to update stats for 340: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:00,203][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:00,204][ERROR]: Failed to sync tags for 340: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:00,204][INFO]: [45/74] Completed: Half-Life 2: Lost Coast
[2026-02-09 17:17:01,206][INFO]: [46/74] Syncing: The Walking Dead: The Telltale Definitive Series (1449690)
[2026-02-09 17:17:01,207][ERROR]: Failed to update stats for 1449690: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:02,046][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:02,047][ERROR]: Failed to sync tags for 1449690: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:02,048][INFO]: [46/74] Completed: The Walking Dead: The Telltale Definitive Series
[2026-02-09 17:17:03,048][INFO]: [47/74] Syncing: Proton 9.0 (2805730)
[2026-02-09 17:17:03,050][ERROR]: Failed to update stats for 2805730: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:03,890][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:03,891][ERROR]: Failed to sync tags for 2805730: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:03,892][INFO]: [47/74] Completed: Proton 9.0
[2026-02-09 17:17:04,893][INFO]: [48/74] Syncing: Steamworks Common Redistributables (228980)
[2026-02-09 17:17:04,896][ERROR]: Failed to update stats for 228980: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:05,524][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:05,525][ERROR]: Failed to sync tags for 228980: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:05,525][INFO]: [48/74] Completed: Steamworks Common Redistributables
[2026-02-09 17:17:06,527][INFO]: [49/74] Syncing: Proton Experimental (1493710)
[2026-02-09 17:17:06,529][ERROR]: Failed to update stats for 1493710: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:07,269][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:07,270][ERROR]: Failed to sync tags for 1493710: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:07,270][INFO]: [49/74] Completed: Proton Experimental
[2026-02-09 17:17:08,271][INFO]: [50/74] Syncing: Steam Linux Runtime 3.0 (sniper) (1628350)
[2026-02-09 17:17:08,273][ERROR]: Failed to update stats for 1628350: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:10,344][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:10,345][ERROR]: Failed to sync tags for 1628350: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:10,345][INFO]: [50/74] Completed: Steam Linux Runtime 3.0 (sniper)
[2026-02-09 17:17:11,346][INFO]: [51/74] Syncing: Steam Linux Runtime 1.0 (scout) (1070560)
[2026-02-09 17:17:11,348][ERROR]: Failed to update stats for 1070560: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:12,492][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:12,493][ERROR]: Failed to sync tags for 1070560: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:12,493][INFO]: [51/74] Completed: Steam Linux Runtime 1.0 (scout)
[2026-02-09 17:17:13,494][INFO]: [52/74] Syncing: Proton 10.0 (3658110)
[2026-02-09 17:17:13,495][ERROR]: Failed to update stats for 3658110: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:14,335][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:14,336][ERROR]: Failed to sync tags for 3658110: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:14,336][INFO]: [52/74] Completed: Proton 10.0
[2026-02-09 17:17:15,338][INFO]: [53/74] Syncing: Divinity: Original Sin Enhanced Edition (373420)
[2026-02-09 17:17:15,340][ERROR]: Failed to update stats for 373420: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:16,178][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:16,181][ERROR]: Failed to sync tags for 373420: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:16,181][INFO]: [53/74] Completed: Divinity: Original Sin Enhanced Edition
[2026-02-09 17:17:17,183][INFO]: [54/74] Syncing: Half-Life 2: Episode One (380)
[2026-02-09 17:17:17,183][ERROR]: Failed to sync tags for 380: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:17,184][INFO]: [54/74] Completed: Half-Life 2: Episode One
[2026-02-09 17:17:18,185][INFO]: [55/74] Syncing: Unravel (1225560)
[2026-02-09 17:17:18,187][ERROR]: Failed to update stats for 1225560: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:18,842][ERROR]: HLTB search error: HTTP Error 404: Not Found
[2026-02-09 17:17:18,843][ERROR]: Failed to sync tags for 1225560: SQLite objects created in a thread can only be used in that same thread. The object was created in thread id 140650624304832 and this is thread id 140650632697536.
[2026-02-09 17:17:18,843][INFO]: [55/74] Completed: Unravel
